Run,X,Y,FoM
0,-3.774582694202374,-3.2752094232258546,0.0030336456777363256
0,-3.7796230552951293,-3.285019920033739,0.0001379405102208046
0,-3.7794864692090613,-3.2831030971073956,2.5210213007371163e-06
0,-3.779287939420398,-3.2831807573640157,2.685411070547387e-08
0,-3.779310222006151,-3.283185924162088,1.9650089074558652e-13
0,-3.779310222006151,-3.283185924162088,1.9650089074558652e-13
1,-2.743597410536311,3.191845211060727,0.27624771982655116
1,-2.8223200605500045,3.120418757772755,0.014657661112194352
1,-2.8043693352384302,3.130715298469555,3.196081593121581e-05
1,-2.8051466696545737,3.131364953100002,1.3516011801506809e-07
1,-2.8051181470210755,3.131312434176114,4.0806392863276886e-13
1,-2.8051181470210755,3.131312434176114,4.0806392863276886e-13
2,3.5673394272415697,-1.8675125185304855,0.023069777469542918
2,3.5869051258927565,-1.8417568743609949,0.001024442943912685
2,3.584471651641839,-1.848218016504493,1.9349638138417434e-07
2,3.584423614792065,-1.8481191768589023,1.7208442138417437e-09
2,3.584428338458985,-1.848126525195784,2.0638211251671205e-16
2,3.584428338458985,-1.848126525195784,2.0638211251671205e-16
3,2.9635337156439245,2.0630094572676843,0.07205598957886612
3,2.978743052788908,2.04097382498363,0.028243421791154605
3,2.9997497254035057,2.0014502557004987,3.083679388452385e-05
3,2.999970796831138,2.0000284033948494,2.8679828972075654e-08
3,3.00000120102957,1.9999996943422913,4.7617658801845497e-11
3,2.9999999943362297,1.9999999916015592,3.3373084190744674e-15
3,2.9999999943362297,1.9999999916015592,3.3373084190744674e-15
